,tracks,albums,shows,episodes,bannedTracks,other
0,"{'artist': 'All Time Low', 'album': 'Nothing Personal (Deluxe Version)', 'track': 'Stella'}","{'artist': 'Rex Orange County', 'album': 'Pony'}","{'name': 'Stuff You Missed in History Class', 'publisher': 'iHeartRadio'}",,,
1,"{'artist': 'Father John Misty', 'album': 'I Love You, Honeybear', 'track': 'The Ideal Husband'}","{'artist': 'Fast Romantics', 'album': 'Funeral Song'}","{'name': 'The Daily', 'publisher': 'The New York Times'}",,,
2,"{'artist': 'Unknown Mortal Orchestra', 'album': 'II', 'track': 'So Good at Being in Trouble'}","{'artist': 'Harry Styles', 'album': 'Fine Line'}","{'name': 'Tiny Meat Gang', 'publisher': 'TMG'}",,,
3,"{'artist': 'MGMT', 'album': 'Oracular Spectacular', 'track': 'Kids'}","{'artist': 'Ariana Grande', 'album': '7 rings'}",,,,
4,"{'artist': 'Quinn XCII', 'album': 'From Michigan With Love', 'track': 'When I Die'}","{'artist': 'Fall Out Boy', 'album': 'PAX AM Days'}",,,,
5,"{'artist': 'The Front Bottoms', 'album': 'Back On Top', 'track': 'Laugh Till I Cry'}","{'artist': 'Cage The Elephant', 'album': ""Tell Me I'm Pretty""}",,,,
6,"{'artist': 'AWOLNATION', 'album': 'Passion', 'track': 'Passion'}","{'artist': 'Jetty Bones', 'album': 'Old Women'}",,,,
7,"{'artist': 'The Cab', 'album': 'Whisper War', 'track': 'One Of THOSE Nights'}","{'artist': 'Fall Out Boy', 'album': 'Lake Effect Kid'}",,,,
8,"{'artist': 'Yoke Lore', 'album': 'Fake You', 'track': 'Fake You'}","{'artist': 'Paramore', 'album': 'Riot!'}",,,,
9,"{'artist': 'Quinn XCII', 'album': 'From Michigan With Love', 'track': 'Life Must Go On'}","{'artist': 'The Front Bottoms', 'album': ""Needy When I'm Needy""}",,,,
10,"{'artist': 'Panic! At The Disco', 'album': 'Vices & Virtues', 'track': 'Memories'}","{'artist': 'Twenty One Pilots', 'album': 'Twenty One Pilots'}",,,,
11,"{'artist': 'Wallows', 'album': 'Drunk on Halloween', 'track': 'Drunk on Halloween'}","{'artist': 'Panic! At The Disco', 'album': 'Pretty. Odd.'}",,,,
12,"{'artist': 'Against Me!', 'album': '333', 'track': '333'}","{'artist': 'WALK THE MOON', 'album': 'TALKING IS HARD'}",,,,
13,"{'artist': 'Mitski', 'album': 'Puberty 2', 'track': 'Your Best American Girl'}","{'artist': 'Joywave', 'album': 'Compromise'}",,,,
14,"{'artist': 'La Bouquet', 'album': 'Anxiety, My Best Friend', 'track': 'Anxiety, My Best Friend'}","{'artist': 'WALK THE MOON', 'album': 'Tightrope EP'}",,,,
15,"{'artist': 'Real Friends', 'album': 'The Home Inside My Head', 'track': 'Mess'}","{'artist': 'Years & Years', 'album': 'Meteorite'}",,,,
16,"{'artist': 'Yellowcard', 'album': 'Punk Goes Pop', 'track': 'Everywhere'}","{'artist': 'Rex Orange County', 'album': 'New House'}",,,,
17,"{'artist': 'Plastic Picnic', 'album': 'Berkeley', 'track': 'Berkeley'}","{'artist': 'Joywave', 'album': 'Content'}",,,,
18,"{'artist': 'Mosie', 'album': 'look@ugo', 'track': 'look@ugo'}","{'artist': 'Years & Years', 'album': 'Communion'}",,,,
19,"{'artist': 'Wild Party', 'album': 'Phantom Pop', 'track': 'Connect The Dots'}","{'artist': 'WALK THE MOON', 'album': 'What If Nothing'}",,,,
20,"{'artist': 'Fall Out Boy', 'album': 'From Under The Cork Tree', 'track': ""I've Got A Dark Alley And A Bad Idea That Says You Should Shut Your Mouth (Summer Song)""}","{'artist': 'Wild Party', 'album': 'Phantom Pop'}",,,,
21,"{'artist': 'WALK THE MOON', 'album': 'TALKING IS HARD', 'track': 'Sidekick'}","{'artist': 'Fall Out Boy', 'album': 'From Under The Cork Tree'}",,,,
22,"{'artist': 'Panic! At The Disco', 'album': ""A Fever You Can't Sweat Out"", 'track': 'Time to Dance'}","{'artist': 'Lorde', 'album': 'Pure Heroine'}",,,,
23,"{'artist': 'Foxing', 'album': 'Dealer', 'track': 'The Magdalene'}","{'artist': 'Ariana Grande', 'album': 'God is a woman'}",,,,
24,"{'artist': 'Weezer', 'album': 'Weezer (White Album)', 'track': 'Do You Wanna Get High?'}","{'artist': 'The Brobecks', 'album': 'Violent Things'}",,,,
25,"{'artist': 'Modest Mouse', 'album': 'Building Nothing out of Something', 'track': 'Never Ending Math Equation'}","{'artist': 'Panic! At The Disco', 'album': 'Too Weird To Live, Too Rare To Die!'}",,,,
26,"{'artist': 'Spencer Sutherland', 'album': 'Tell Me', 'track': 'Tell Me'}","{'artist': 'The Front Bottoms', 'album': 'Back On Top'}",,,,
27,"{'artist': 'Twenty One Pilots', 'album': 'Vessel', 'track': 'The Run and Go'}","{'artist': 'Halsey', 'album': 'BADLANDS'}",,,,
28,"{'artist': 'The Griswolds', 'album': 'Be Impressive', 'track': 'Beware the Dog'}","{'artist': 'Fall Out Boy', 'album': 'Take This To Your Grave'}",,,,
29,"{'artist': 'Dance Gavin Dance', 'album': 'Mothership', 'track': 'Betrayed By The Game'}","{'artist': 'Bad Suns', 'album': 'Disappear Here'}",,,,
30,"{'artist': 'Lemon Demon', 'album': 'Spirit Phone', 'track': 'Reaganomics'}","{'artist': 'Bad Suns', 'album': 'Language & Perspective'}",,,,
31,"{'artist': 'Paramore', 'album': 'Riot!', 'track': 'Misery Business'}","{'artist': 'Bring Me The Horizon', 'album': 'Drown'}",,,,
32,"{'artist': 'The Front Bottoms', 'album': 'Vacation Town', 'track': 'Vacation Town'}","{'artist': 'Wild Party', 'album': 'Phantom Pop'}",,,,
33,"{'artist': 'ScHoolboy Q', 'album': 'Blank Face LP', 'track': 'Dope Dealer'}","{'artist': 'Fall Out Boy', 'album': 'Folie à Deux'}",,,,
34,"{'artist': 'Twenty One Pilots', 'album': 'Twenty One Pilots', 'track': 'Before You Start Your Day'}","{'artist': 'Joywave', 'album': 'Possession'}",,,,
35,"{'artist': 'WALK THE MOON', 'album': 'What If Nothing', 'track': 'All I Want'}","{'artist': 'Twenty One Pilots', 'album': 'Vessel'}",,,,
36,"{'artist': 'The Mountain Goats', 'album': 'Beat the Champ', 'track': 'Animal Mask'}","{'artist': 'Twenty One Pilots', 'album': 'Blurryface'}",,,,
37,"{'artist': 'Bowling For Soup', 'album': ""A Hangover You Don't Deserve"", 'track': 'Almost'}","{'artist': 'Paramore', 'album': 'After Laughter'}",,,,
38,"{'artist': 'Frank Ocean', 'album': 'Blonde', 'track': 'Nights'}","{'artist': 'Bring Me The Horizon', 'album': ""That's The Spirit""}",,,,
39,"{'artist': 'The Brobecks', 'album': 'Violent Things', 'track': 'Second Boys Will Be First Choice (Radio Version)'}","{'artist': 'Fall Out Boy', 'album': 'American Beauty/American Psycho'}",,,,
40,"{'artist': 'Bad Suns', 'album': 'This Was a Home Once', 'track': 'This Was a Home Once'}","{'artist': 'Fall Out Boy', 'album': 'Save Rock And Roll'}",,,,
41,"{'artist': 'Andrew McMahon in the Wilderness', 'album': 'Zombies On Broadway', 'track': 'Birthday Song'}","{'artist': 'Panic! At The Disco', 'album': ""A Fever You Can't Sweat Out""}",,,,
42,"{'artist': 'Father John Misty', 'album': ""God's Favorite Customer"", 'track': 'Date Night'}","{'artist': 'WALK THE MOON', 'album': 'Walk The Moon'}",,,,
43,"{'artist': 'Ed Sheeran', 'album': '+', 'track': 'Little Bird - Deluxe Edition'}","{'artist': 'Panic! At The Disco', 'album': 'Death of a Bachelor'}",,,,
44,"{'artist': 'A Boogie Wit da Hoodie', 'album': 'Artist', 'track': 'My Shit'}","{'artist': 'Fall Out Boy', 'album': 'Infinity On High'}",,,,
45,"{'artist': 'The Summer Set', 'album': 'Love Like This', 'track': 'Chelsea'}","{'artist': 'Father John Misty', 'album': ""God's Favorite Customer""}",,,,
46,"{'artist': 'Flights Over Phoenix', 'album': 'Runaway California', 'track': 'Runaway California'}","{'artist': 'Panic! At The Disco', 'album': 'Vices & Virtues'}",,,,
47,"{'artist': 'Jack Johnson', 'album': 'Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George', 'track': 'Upside Down'}","{'artist': 'Fall Out Boy', 'album': 'Champion'}",,,,
48,"{'artist': 'Samm Henshaw', 'album': 'Broke', 'track': 'Broke'}","{'artist': 'MARINA', 'album': 'Froot'}",,,,
49,"{'artist': 'Super Whatevr', 'album': 'Good Luck', 'track': 'Good Luck'}","{'artist': 'Fall Out Boy', 'album': 'Dear Future Self (Hands Up)'}",,,,
50,"{'artist': 'blackbear', 'album': 'me & ur ghost', 'track': 'me & ur ghost'}","{'artist': 'The Front Bottoms', 'album': 'Rose'}",,,,
51,"{'artist': 'LIL PHAG', 'album': 'resERECTION', 'track': 'IHATEMETOO'}","{'artist': 'half•alive', 'album': 'Now, Not Yet'}",,,,
52,"{'artist': 'Farewell Fighter', 'album': 'Challenges', 'track': 'Golden'}","{'artist': 'Childish Gambino', 'album': 'Me and Your Mama'}",,,,
53,"{'artist': 'Ed Sheeran', 'album': '+', 'track': 'Drunk'}",,,,,
54,"{'artist': 'Fitz and The Tantrums', 'album': 'More Than Just A Dream', 'track': 'Spark'}",,,,,
55,"{'artist': 'Rex Orange County', 'album': 'Pluto Projector', 'track': 'Pluto Projector'}",,,,,
56,"{'artist': 'Modest Mouse', 'album': 'The Moon & Antarctica', 'track': '3rd Planet'}",,,,,
57,"{'artist': 'My American Heart', 'album': 'Hiding Inside The Horrible Weather', 'track': 'The Shake'}",,,,,
58,"{'artist': 'Japanese Breakfast', 'album': 'Soft Sounds from Another Planet', 'track': 'Road Head'}",,,,,
59,"{'artist': 'Billy Joel', 'album': 'Piano Man', 'track': 'Piano Man'}",,,,,
60,"{'artist': 'Cavetown', 'album': 'Dear.', 'track': 'Talk to Me'}",,,,,
61,"{'artist': 'Japanese Breakfast', 'album': 'Psychopomp', 'track': 'Everybody Wants to Love You'}",,,,,
62,"{'artist': 'Twenty One Pilots', 'album': 'Blurryface', 'track': 'Hometown'}",,,,,
63,"{'artist': 'Lemon Demon', 'album': 'View-Monster', 'track': 'The Ocean'}",,,,,
64,"{'artist': 'Morning Parade', 'album': 'Headlights', 'track': 'Headlights'}",,,,,
65,"{'artist': 'Chris Jobe', 'album': 'Bad Look Good', 'track': 'Bad Look Good'}",,,,,
66,"{'artist': 'State Champs', 'album': 'The Acoustic Things', 'track': ""If I'm Lucky""}",,,,,
67,"{'artist': 'Kishi Bashi', 'album': 'Lighght', 'track': 'Philosophize In It! Chemicalize With It!'}",,,,,
68,"{'artist': 'The Wombats', 'album': 'Beautiful People Will Ruin Your Life', 'track': 'Black Flamingo'}",,,,,
69,"{'artist': 'Bazzi', 'album': 'COSMIC', 'track': 'Honest'}",,,,,
70,"{'artist': 'My Chemical Romance', 'album': 'Danger Days: The True Lives of the Fabulous Killjoys', 'track': 'SING'}",,,,,
71,"{'artist': 'BTS', 'album': ""Love Yourself 轉 'Tear'"", 'track': 'Airplane pt.2'}",,,,,
72,"{'artist': 'Panic! At The Disco', 'album': 'High Hopes on Saturday Night', 'track': 'High Hopes'}",,,,,
73,"{'artist': 'Vampire Weekend', 'album': 'California English Pt. 2', 'track': 'California English Pt. 2'}",,,,,
74,"{'artist': 'DAISY', 'album': 'Smoke About It - EP', 'track': 'Someone'}",,,,,
75,"{'artist': 'RADWIMPS', 'album': 'Your Name.', 'track': 'Zenzenzense - movie ver.'}",,,,,
76,"{'artist': 'Watsky', 'album': 'All Like Whatever', 'track': 'All Like Whatever'}",,,,,
77,"{'artist': 'Foliage', 'album': ""It's Time"", 'track': ""It's Time""}",,,,,
78,"{'artist': 'The Afters', 'album': 'Never Going Back To OK', 'track': 'Summer Again'}",,,,,
79,"{'artist': 'Panic! At The Disco', 'album': 'Suicide Squad: The Album', 'track': 'Bohemian Rhapsody'}",,,,,
80,"{'artist': 'Coldplay', 'album': 'Everyday Life', 'track': 'Orphans'}",,,,,
81,"{'artist': 'You Me At Six', 'album': 'Sinners Never Sleep', 'track': 'Crash'}",,,,,
82,"{'artist': 'No Rome', 'album': 'RIP Indo Hisashi', 'track': 'Narcissist (feat. The 1975)'}",,,,,
83,"{'artist': 'Basement', 'album': 'Colourmeinkindness', 'track': 'Pine'}",,,,,
84,"{'artist': 'Panic! At The Disco', 'album': ""A Fever You Can't Sweat Out"", 'track': ""There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet""}",,,,,
85,"{'artist': 'Kanye West', 'album': 'Graduation', 'track': ""Can't Tell Me Nothing""}",,,,,
86,"{'artist': 'Arctic Monkeys', 'album': 'Favourite Worst Nightmare', 'track': 'Teddy Picker'}",,,,,
87,"{'artist': 'The Brobecks', 'album': 'Violent Things', 'track': 'If You Like It Or Not'}",,,,,
88,"{'artist': 'AJR', 'album': 'The Click (Deluxe Edition)', 'track': 'Pretender - Acoustic'}",,,,,
89,"{'artist': 'Lemon Demon', 'album': 'Spirit Phone', 'track': 'Redesign Your Logo (Bonus Track)'}",,,,,
90,"{'artist': 'ScHoolboy Q', 'album': 'Black Panther The Album Music From And Inspired By', 'track': 'X (with 2 Chainz & Saudi)'}",,,,,
91,"{'artist': 'The Head and the Heart', 'album': 'The Head and the Heart', 'track': 'Rivers and Roads'}",,,,,
92,"{'artist': 'RAC', 'album': 'Unusual', 'track': 'Unusual'}",,,,,
93,"{'artist': 'Bad Suns', 'album': 'Disappear Here', 'track': 'Violet'}",,,,,
94,"{'artist': 'Years & Years', 'album': 'Sanctify', 'track': 'Sanctify'}",,,,,
95,"{'artist': 'Spencer Sutherland', 'album': 'NONE of this has been about you', 'track': 'Wallpaper'}",,,,,
