,platform,searchTime,searchQuery,searchInteractionURIs
0,DESKTOP,2020-01-31T09:37:09.087Z[UTC],john mu,['spotify:artist:5K6CrtQfpRipgTDZbaSj7k']
1,DESKTOP,2020-02-03T00:43:22.980Z[UTC],saint motel,"['spotify:artist:1dWEYMPtNmvSVaDNLgB6NV', 'spotify:artist:1dWEYMPtNmvSVaDNLgB6NV']"
2,DESKTOP,2020-02-06T03:50:46.768Z[UTC],all night lon,"['spotify:track:1vNn7rVQT6UtEW1NGH53fT', 'spotify:track:1vNn7rVQT6UtEW1NGH53fT']"
3,IPHONE,2020-02-08T03:53:48.254Z[UTC],van,[]
4,IPHONE,2020-02-08T03:53:48.652Z[UTC],va,['']
5,IPHONE,2020-02-08T03:53:49.548Z[UTC],m,['']
6,IPHONE,2020-02-08T03:53:51.615Z[UTC],saint,"['spotify:artist:1dWEYMPtNmvSVaDNLgB6NV', '']"
7,IPHONE,2020-02-08T03:54:43.410Z[UTC],lost in,['spotify:track:79esEXlqqmq0GPz0xQSZTV']
8,IPHONE,2020-02-08T20:56:42.349Z[UTC],saint,"['spotify:artist:1dWEYMPtNmvSVaDNLgB6NV', '']"
9,IPHONE,2020-02-08T21:04:16.535Z[UTC],kola,['spotify:artist:3tiDO34wzfyJdv8elYqKxj']
10,IPHONE,2020-02-09T22:57:27.288Z[UTC],eric hut,['spotify:artist:39x8gyJjTHiBQklFgVJSV4']
11,IPHONE,2020-02-09T23:05:34.419Z[UTC],lumin,"['spotify:artist:16oZKvXb6WkQlVAjwo2Wbg', '']"
12,IPHONE,2020-02-09T23:07:13.303Z[UTC],dear,"['spotify:album:0LhDyJXelg31FKLW5GDcKi', '']"
13,IPHONE,2020-02-10T00:24:08.562Z[UTC],sh,"['spotify:artist:7n2wHs1TKAczGzO7Dd2rGr', '']"
14,IPHONE,2020-02-10T00:32:45.180Z[UTC],ive got the ,"['spotify:track:1uvzC5c9WWsqHf4keGeuSx', 'spotify:playlist:5ETv0AdsXvFvKc6VBxtD6i', '']"
15,IPHONE,2020-02-10T00:33:14.328Z[UTC],pitch per,"['spotify:album:3C81mDhWllB5q56pfvik3U', 'spotify:album:2ZeHAc9olOJ70wqPjHXhZE', 'spotify:user:pitchperfectmovie']"
16,IPHONE,2020-02-10T00:34:07.513Z[UTC],ben pla,"['spotify:artist:6qGkLCMQkNGOJ079iEcC5k', '']"
17,IPHONE,2020-02-10T00:34:53.667Z[UTC],pitch,"['spotify:album:3C81mDhWllB5q56pfvik3U', '']"
