,endTime,artistName,trackName,msPlayed
0,2019-08-30 14:30,The Front Bottoms,Historic Cemetery,597
1,2019-08-30 14:30,Fall Out Boy,Growing Up - Bonus Track,1216
2,2019-08-30 14:30,Avril Lavigne,Complicated,4928
3,2019-08-30 14:30,Kishi Bashi,Honeybody,960
4,2019-08-30 14:30,AJR,Sober Up,109807
5,2019-08-30 14:30,Just Nick,I Hate Everything,832
6,2019-08-30 14:30,Jemaine Clement,Shiny,1728
7,2019-08-30 14:30,Fall Out Boy,Grand Theft Autumn / Where Is Your Boy - Acoustic,2929
8,2019-08-30 14:34,Shawn Mendes,Lost In Japan,201200
9,2019-08-30 14:37,Quinn XCII,60 Seconds,183080
10,2019-08-30 14:41,AJR,Thirsty,3263
11,2019-08-30 14:41,Cayucas,Jessica WJ,1365
12,2019-08-30 14:41,Kenny Man,Ni Gucci Ni Prada,1088
13,2019-08-30 14:41,Wallows,Are You Bored Yet? (feat. Clairo),960
14,2019-08-30 14:41,Quinn XCII,Straightjacket,19434
15,2019-08-30 14:46,Vampire Weekend,This Life,268600
16,2019-08-30 14:50,Yoke Lore,Goodpain,261986
17,2019-08-30 14:52,The Shins,Name For You,96168
18,2019-08-30 14:55,Khalid,Better,229320
19,2019-08-30 14:59,Hippo Campus,Buttercup,1237
20,2019-08-30 14:59,Lil Nas X,Bring U Down,3093
21,2019-08-30 14:59,Cavetown,Everything Is Temporary (Sticks and Stones),1280
22,2019-08-30 14:59,Cavetown,So Much,7973
23,2019-08-30 14:59,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),206186
24,2019-08-30 15:03,Cavetown,Fool,233785
25,2019-08-30 15:04,Cavetown,Talk to Me,36328
26,2019-08-30 15:07,Cavetown,Fool,233785
27,2019-08-30 15:12,Cavetown,Talk to Me,277327
28,2019-08-30 15:13,Cavetown,Devil Town,75471
29,2019-08-30 15:18,Cavetown,Talk to Me,277327
30,2019-08-30 15:19,half•alive,Maybe,1024
31,2019-08-30 15:19,Cavetown,Talk to Me,3200
32,2019-08-30 15:19,Cavetown,Devil Town,53479
33,2019-08-30 15:22,The Band CAMINO,Honest,200957
34,2019-08-30 15:23,The Band CAMINO,Something To Hold On To,1386
35,2019-08-30 15:23,Sum 41,Still Waiting,1429
36,2019-08-30 15:23,5 Seconds of Summer,She's Kinda Hot,28089
37,2019-08-30 15:23,Falling In Reverse,The Drug In Me Is You,3328
38,2019-08-30 15:25,Joywave,Doubt,1621
39,2019-08-30 15:25,WALK THE MOON,All Night,1024
40,2019-08-30 15:25,Mumford & Sons,The Cave,874
41,2019-08-30 15:25,Weezer,Can't Knock The Hustle,145472
42,2019-08-30 15:26,Neck Deep,Wish You Were Here,704
43,2019-08-30 15:33,The xx,Intro,8170
44,2019-08-30 15:33,Mikroboy,Leicht,2176
45,2019-08-30 15:33,Neck Deep,I Hope This Comes Back To Haunt You,1408
46,2019-08-30 15:36,Post Malone,Goodbyes (Feat. Young Thug),174960
47,2019-08-30 15:39,Post Malone,Over Now,153180
48,2019-08-30 15:42,Post Malone,Goodbyes (Feat. Young Thug),174960
49,2019-08-30 15:42,Scott Barnhardt,Turn It Off,27931
50,2019-08-30 15:47,Post Malone,Goodbyes (Feat. Young Thug),214058
51,2019-08-30 19:31,Pinegrove,Moment,19114
52,2019-08-30 19:31,You Me At Six,What's It Like,22741
53,2019-08-30 19:34,You Me At Six,What's It Like,184415
54,2019-08-30 19:35,Taylor Swift,The Man,4490
55,2019-08-30 19:35,BTS,dimple,668
56,2019-08-30 19:35,Post Malone,Goodbyes (Feat. Young Thug),324
57,2019-08-30 19:35,93PUNX,it’s a bad dream (Feat. Good Charlotte),31596
58,2019-08-30 19:36,Post Malone,Goodbyes (Feat. Young Thug),39154
59,2019-08-30 19:36,Post Malone,Goodbyes (Feat. Young Thug),5866
60,2019-08-30 19:39,Post Malone,Goodbyes (Feat. Young Thug),168491
61,2019-08-30 19:43,Grapetooth,Red Wine,239093
62,2019-08-30 19:44,Marianas Trench,Haven't Had Enough,81182
63,2019-08-30 19:44,Weezer,Can't Knock The Hustle,631
64,2019-08-30 19:45,Taylor Swift,Clean,2296
65,2019-08-30 19:49,flor,money,186276
66,2019-08-30 19:49,Icona Pop,I Love It (feat. Charli XCX),21372
67,2019-08-30 19:49,AJR,Livin' on Love,710
68,2019-08-30 19:53,BTS,Love Maze,221530
69,2019-08-30 19:56,The Mowgli's,4AM,206226
70,2019-08-30 20:01,Twenty One Pilots,The Hype,265373
71,2019-08-30 20:03,Pinegrove,Visiting,151474
72,2019-08-30 20:06,Rachel House,I Am Moana (Song of the Ancestors),162827
73,2019-08-30 20:13,The All-American Rejects,It Ends Tonight,244827
74,2019-08-30 20:49,Jukebox The Ghost,Girl,31428
75,2019-08-30 21:34,Weezer,Thank God for Girls,447
76,2019-08-30 21:34,Post Malone,Goodbyes (Feat. Young Thug),1023
77,2019-08-30 21:34,Kanye West,Homecoming,661
78,2019-08-30 21:34,Cavetown,Talk to Me,4309
